"id_credito","monto","fecha","id_asistencia"
34,6.00,2007-06-09,1
34,9.00,2007-06-16,1
34,20.00,2007-06-23,1
34,6.00,2007-06-30,1
34,5.00,2007-07-21,1
34,5.00,2007-07-28,1
34,24.00,2007-08-25,1
34,22.00,2007-09-22,1
34,10.00,2007-10-13,1
34,15.00,2007-11-03,1
34,7.00,2007-11-17,1
34,22.50,2007-12-15,1
34,10.00,2007-12-22,1
34,15.00,2007-12-29,1
34,15.00,2008-01-19,1
34,10.00,2008-02-02,1
34,8.00,2008-02-09,1
34,10.00,2008-04-05,1
34,8.00,2008-05-03,1
34,7.00,2008-05-17,3
34,8.00,2008-07-19,3
34,10.00,2008-07-26,3
34,10.00,2008-09-06,3
34,10.00,2009-01-31,3
34,10.00,2009-05-09,3
34,5.00,2009-06-20,3
35,12.00,2007-05-19,1
35,10.50,2007-05-26,1
35,10.00,2007-06-02,1
35,12.00,2007-06-09,1
35,10.00,2007-06-16,1
35,10.00,2007-06-23,1
35,12.00,2007-06-30,1
35,20.00,2007-07-14,1
35,10.50,2007-07-21,1
35,19.00,2007-08-04,1
35,22.00,2007-08-18,1
35,10.50,2007-08-25,1
35,10.00,2007-09-29,1
35,10.50,2007-10-06,1
35,10.50,2007-10-13,1
35,20.00,2007-10-27,1
35,22.00,2007-11-10,1
35,10.50,2007-12-01,1
35,10.50,2007-12-08,1
35,10.50,2007-12-15,1
35,12.00,2007-12-29,1
35,10.00,2008-01-12,1
35,10.00,2008-01-19,1
35,20.00,2008-02-09,1
35,10.00,2008-03-08,1
35,22.00,2008-04-05,1
35,10.00,2008-05-24,3
35,10.00,2008-08-09,3
35,10.00,2008-08-23,3
35,10.00,2008-09-27,3
35,10.00,2008-10-18,3
35,5.00,2008-12-27,3
35,10.00,2009-03-28,3
35,7.00,2009-04-25,2
35,10.00,2009-05-09,3
35,10.00,2009-05-23,3
35,10.00,2009-09-12,3
35,13.00,2009-10-22,3
35,10.00,2009-10-24,3
35,10.00,2009-11-07,3
35,16.00,2010-02-06,3
36,11.25,2007-05-19,1
36,10.25,2007-05-26,1
36,12.00,2007-06-02,1
36,11.00,2007-06-09,1
36,11.00,2007-06-16,1
36,11.00,2007-06-23,1
36,12.00,2007-06-30,1
36,12.00,2007-07-07,1
36,10.00,2007-07-14,1
36,11.25,2007-07-21,1
36,12.00,2007-07-28,1
36,7.00,2007-08-04,1
36,14.75,2007-08-11,1
36,12.00,2007-08-18,1
36,10.00,2007-08-25,1
36,12.00,2007-09-01,1
